Location,Site,Row,Column,BroadLeaf
RS,RS016,3,3,9
RS,RS016,3,4,0
RS,RS016,3,5,0
RS,RS016,3,6,0
RS,RS016,3,7,0
RS,RS017,1,0,1
RS,RS017,1,1,0
RS,RS017,1,2,0
RS,RS017,1,3,0
RS,RS017,1,4,0
RS,RS017,1,5,1
RS,RS017,1,6,0
RS,RS017,1,7,1
RS,RS017,2,0,1
RS,RS017,2,1,0
RS,RS017,2,2,0
RS,RS017,2,3,0
RS,RS017,2,4,1
RS,RS017,2,5,1
RS,RS017,2,6,0
RS,RS017,2,7,1
RS,RS017,3,0,0
RS,RS017,3,1,1
RS,RS017,3,2,0
RS,RS017,3,3,0
RS,RS017,3,4,1
RS,RS017,3,5,1
RS,RS017,3,6,0
RS,RS017,3,7,1
RS,RS018,1,0,1
RS,RS018,1,1,1
RS,RS018,1,2,0
RS,RS018,1,3,0
RS,RS018,1,4,0
RS,RS018,1,5,0
RS,RS018,1,6,0
RS,RS018,1,7,0
RS,RS018,2,0,1
RS,RS018,2,1,0
RS,RS018,2,2,9
RS,RS018,2,3,0
RS,RS018,2,4,1
RS,RS018,2,5,0
RS,RS018,2,6,0
RS,RS018,2,7,1
RS,RS018,3,0,9
RS,RS018,3,1,9
RS,RS018,3,2,0
RS,RS018,3,3,0
RS,RS018,3,4,1
RS,RS018,3,5,1
RS,RS018,3,6,0
RS,RS018,3,7,9
RS,RS019,1,0,1
RS,RS019,1,1,1
RS,RS019,1,2,0
RS,RS019,1,3,0
RS,RS019,1,4,0
RS,RS019,1,5,1
RS,RS019,1,6,1
RS,RS019,1,7,0
RS,RS019,2,0,1
RS,RS019,2,1,9
RS,RS019,2,2,0
RS,RS019,2,3,1
RS,RS019,2,4,1
RS,RS019,2,5,1
RS,RS019,2,6,1
RS,RS019,2,7,1
RS,RS019,3,0,1
RS,RS019,3,1,0
RS,RS019,3,2,1
RS,RS019,3,3,1
RS,RS019,3,4,1
RS,RS019,3,5,9
RS,RS019,3,6,1
RS,RS019,3,7,1
RS,RS020,1,0,0
RS,RS020,1,1,1
RS,RS020,1,2,1
RS,RS020,1,3,9
RS,RS020,1,4,1
RS,RS020,1,5,1
RS,RS020,1,6,0
RS,RS020,1,7,0
RS,RS020,2,0,0
RS,RS020,2,1,0
RS,RS020,2,2,0
RS,RS020,2,3,9
RS,RS020,2,4,1
RS,RS020,2,5,1
RS,RS020,2,6,1
RS,RS020,2,7,0
RS,RS020,3,0,9
RS,RS020,3,1,0
RS,RS020,3,2,1
RS,RS020,3,3,9
RS,RS020,3,4,0
RS,RS020,3,5,1
RS,RS020,3,6,0
RS,RS020,3,7,9
RS,RS021,1,0,0
RS,RS021,1,1,0
