 ,Label,Area,Perim.
93023,p_0_YP15_E_T.tif,15,19.56
93024,p_0_YP15_E_T.tif,1182,306.48
93025,p_0_YP15_E_T.tif,16,16.49
93026,p_0_YP15_E_T.tif,438,131.10
93027,p_0_YP15_E_T.tif,25,18.73
93028,p_0_YP15_E_T.tif,149,71.50
93029,p_0_YP15_E_T.tif,1,2.83
93030,p_0_YP15_E_T.tif,1,2.83
93031,p_0_YP15_E_T.tif,1,2.83
93032,p_0_YP15_E_T.tif,84,63.36
93033,p_0_YP15_E_T.tif,3,6.83
93034,p_0_YP15_E_T.tif,11,16.14
93035,p_0_YP15_E_T.tif,1,2.83
93036,p_0_YP15_E_T.tif,7,9.07
93037,p_0_YP15_E_T.tif,4,7.07
93038,p_0_YP15_E_T.tif,5,7.07
93039,p_0_YP15_E_T.tif,6,9.66
93040,p_0_YP15_E_T.tif,81,53.36
93041,p_0_YP15_E_T.tif,149,53.70
93042,p_0_YP15_E_T.tif,11,12.49
93043,p_0_YP15_E_T.tif,3,5.66
93044,p_0_YP15_E_T.tif,115,51.94
93045,p_0_YP15_E_T.tif,2,4.24
93046,p_0_YP15_E_T.tif,4,5.66
93047,p_0_YP15_E_T.tif,23,20.14
93048,p_0_YP15_E_T.tif,3,5.66
93049,p_0_YP15_E_T.tif,3,6.83
93050,p_0_YP15_E_T.tif,5,9.66
93051,p_0_YP15_E_T.tif,153,54.18
93052,p_0_YP15_E_T.tif,62,53.36
93053,p_0_YP15_E_T.tif,1,2.83
93054,p_0_YP15_E_T.tif,3,7.66
93055,p_0_YP15_E_T.tif,33,24.97
93056,p_0_YP15_E_T.tif,26,24.14
93057,p_0_YP15_E_T.tif,15,16.14
93058,p_0_YP15_E_T.tif,72,40.87
93059,p_0_YP15_E_T.tif,3,5.66
93060,p_0_YP15_E_T.tif,2,4.24
93061,p_0_YP15_E_T.tif,1,2.83
93062,p_0_YP15_E_T.tif,14,15.31
93063,p_0_YP15_E_T.tif,39,24.97
93064,p_0_YP15_E_T.tif,17,24.14
93065,p_0_YP15_E_T.tif,19,17.31
93066,p_0_YP15_E_T.tif,20,19.31
93067,p_0_YP15_E_T.tif,1,2.83
93068,p_0_YP15_E_T.tif,104,53.60
93069,p_0_YP15_E_T.tif,5,7.66
93070,p_0_YP15_E_T.tif,1,2.83
93071,p_0_YP15_E_T.tif,2,5.66
93072,p_0_YP15_E_T.tif,4,5.66
93073,p_0_YP15_E_T.tif,5,9.66
93074,p_0_YP15_E_T.tif,1,2.83
93075,p_0_YP15_E_T.tif,2,4.83
93076,p_0_YP15_E_T.tif,4,7.66
93077,p_0_YP15_E_T.tif,2,4.83
